iter	Passed	Remaining
163	2640	13459
164	2653	13427
165	2666	13397
166	2679	13366
167	2692	13335
168	2704	13299
169	2717	13268
170	2730	13236
171	2743	13207
172	2756	13175
173	2768	13141
174	2781	13113
175	2795	13087
176	2809	13064
177	2823	13038
178	2837	13013
179	2850	12986
180	2865	12964
181	2877	12932
182	2892	12911
183	2905	12886
184	2919	12862
185	2932	12835
186	2946	12808
187	2960	12786
188	2975	12765
189	2989	12743
190	3003	12722
191	3017	12699
192	3032	12678
193	3047	12660
194	3061	12639
195	3076	12619
196	3091	12600
197	3107	12587
198	3123	12573
199	3139	12558
200	3154	12538
201	3170	12523
202	3184	12503
203	3200	12486
204	3215	12470
205	3229	12447
206	3244	12429
207	3259	12410
208	3274	12394
209	3289	12375
210	3303	12354
211	3318	12334
212	3335	12325
213	3349	12301
214	3362	12278
215	3377	12260
216	3393	12243
217	3406	12220
218	3422	12203
219	3436	12184
220	3450	12162
221	3464	12140
222	3477	12116
223	3490	12093
224	3503	12069
225	3516	12043
226	3530	12021
227	3544	11999
228	3558	11980
229	3572	11959
230	3587	11942
231	3601	11922
232	3615	11902
233	3629	11882
234	3644	11864
235	3659	11845
236	3673	11825
237	3687	11804
238	3701	11786
239	3716	11768
240	3729	11746
241	3743	11724
242	3758	11708
243	3772	11687
244	3787	11672
245	3802	11655
246	3817	11637
247	3831	11618
248	3846	11601
249	3860	11581
250	3874	11562
251	3890	11546
252	3905	11530
253	3920	11515
254	3935	11497
255	3949	11477
256	3962	11456
257	3977	11438
258	3991	11419
259	4005	11400
260	4019	11381
261	4033	11361
262	4048	11344
263	4062	11325
264	4075	11303
265	4089	11283
266	4102	11261
267	4114	11238
268	4128	11219
269	4142	11200
270	4156	11182
271	4170	11162
272	4183	11140
273	4196	11119
274	4209	11098
275	4222	11075
276	4234	11053
277	4248	11033
278	4260	11010
279	4273	10988
280	4284	10963
281	4297	10942
282	4310	10920
283	4323	10898
284	4334	10875
285	4347	10854
286	4360	10833
287	4373	10811
288	4387	10792
289	4403	10779
290	4418	10765
291	4434	10751
292	4448	10734
293	4463	10717
294	4477	10701
295	4491	10682
296	4504	10662
297	4517	10641
298	4529	10620
299	4542	10599
300	4554	10577
301	4567	10557
302	4581	10538
303	4594	10518
304	4606	10496
305	4619	10476
306	4632	10456
307	4645	10437
308	4658	10416
309	4671	10397
310	4684	10378
311	4697	10359
312	4711	10340
313	4724	10321
314	4738	10304
315	4751	10285
316	4764	10266
317	4780	10251
318	4794	10234
319	4809	10219
320	4823	10202
321	4837	10185
322	4851	10169
323	4866	10154
324	4883	10142
325	4897	10126
326	4912	10111
327	4926	10092
328	4940	10076
329	4954	10059
330	4969	10043
331	4985	10030
332	5002	10019
333	5019	10009
334	5037	9998
335	5094	10068
336	5108	10049
337	5121	10031
338	5135	10012
339	5146	9990
340	5160	9972
341	5174	9954
342	5187	9937
343	5200	9918
344	5214	9900
345	5228	9882
346	5242	9865
347	5255	9847
348	5270	9830
349	5285	9815
350	5300	9801
351	5315	9784
352	5330	9770
353	5347	9758
354	5362	9743
355	5380	9733
356	5396	9720
357	5411	9703
358	5424	9686
359	5439	9669
360	5452	9651
361	5468	9637
362	5483	9623
363	5499	9609
364	5513	9592
365	5526	9573
366	5539	9554
367	5552	9536
368	5565	9517
369	5578	9499
370	5591	9480
371	5606	9464
372	5619	9446
373	5634	9431
374	5651	9419
375	5667	9405
376	5683	9392
377	5700	9380
378	5717	9368
379	5734	9356
380	5749	9341
381	5763	9324
382	5778	9309
383	5795	9296
384	5810	9282
385	5824	9265
386	5839	9249
387	5853	9233
388	5868	9217
389	5882	9200
390	5897	9185
391	5912	9169
392	5925	9152
393	5939	9135
394	5954	9120
395	5969	9104
396	5983	9088
397	5998	9072
398	6013	9057
399	6027	9040
400	6041	9024
401	6056	9008
402	6070	8992
403	6084	8976
404	6100	8961
405	6114	8946
406	6130	8932
407	6145	8916
408	6162	8904
409	6176	8888
410	6192	8874
411	6209	8862
412	6226	8849
413	6242	8836
414	6259	8824
415	6275	8810
416	6291	8796
417	6309	8785
418	6327	8773
419	6343	8759
420	6359	8746
421	6375	8731
422	6391	8718
423	6407	8704
424	6424	8691
425	6441	8679
426	6457	8665
427	6473	8651
428	6488	8636
429	6504	8621
430	6518	8605
431	6533	8590
432	6548	8575
433	6563	8560
434	6579	8546
435	6596	8533
436	6612	8519
437	6627	8504
438	6644	8490
439	6660	8476
440	6678	8465
441	6694	8451
442	6711	8438
443	6728	8425
444	6744	8411
445	6761	8399
446	6778	8386
447	6798	8376
448	6815	8364
449	6830	8348
450	6845	8333
451	6860	8317
452	6873	8300
453	6888	8284
454	6901	8266
455	6915	8249
456	6929	8233
457	6943	8216
458	6957	8200
459	6971	8184
460	6987	8169
461	7001	8153
462	7016	8138
463	7031	8122
464	7045	8106
465	7059	8089
466	7074	8074
467	7089	8058
468	7103	8042
469	7117	8026
470	7131	8009
471	7143	7991
472	7159	7976
473	7174	7961
474	7189	7946
475	7202	7929
476	7217	7913
477	7230	7896
478	7244	7879
479	7258	7863
480	7271	7846
481	7284	7828
482	7297	7811
483	7312	7796
484	7326	7779
485	7342	7765
486	7357	7750
487	7370	7733
488	7383	7716
489	7396	7698
490	7409	7681
491	7422	7664
492	7436	7648
493	7449	7630
494	7462	7613
495	7475	7595
496	7487	7577
497	7500	7560
498	7512	7542
499	7524	7524
500	7537	7506
501	7549	7489
502	7563	7472
503	7576	7455
504	7588	7438
505	7601	7420
506	7613	7403
507	7627	7386
508	7639	7369
509	7652	7352
510	7667	7337
511	7681	7321
512	7695	7305
513	7709	7289
514	7722	7272
515	7737	7257
516	7751	7242
517	7765	7226
518	7779	7210
519	7793	7194
520	7808	7178
521	7821	7162
522	7835	7146
523	7849	7130
524	7863	7114
525	7877	7098
526	7890	7082
527	7905	7066
528	7920	7051
529	7934	7035
530	7948	7020
531	7962	7004
532	7976	6988
533	7991	6973
534	8005	6957
535	8020	6943
536	8032	6925
537	8046	6909
538	8059	6893
539	8072	6876
540	8085	6859
541	8098	6843
542	8111	6826
543	8124	6809
544	8136	6792
545	8152	6778
546	8167	6763
547	8183	6749
548	8197	6734
549	8211	6718
550	8225	6702
551	8239	6687
552	8254	6672
553	8269	6657
554	8285	6643
555	8298	6627
556	8312	6611
557	8327	6596
558	8341	6580
559	8355	6565
560	8369	6549
561	8383	6533
562	8396	6517
563	8412	6503
564	8426	6487
565	8440	6472
566	8455	6456
567	8469	6441
568	8483	6426
569	8498	6410
570	8511	6395
571	8526	6380
572	8540	6364
573	8555	6349
574	8569	6333
575	8583	6318
576	8599	6304
577	8613	6288
578	8627	6273
579	8641	6257
580	8655	6242
581	8669	6226
582	8683	6211
583	8698	6196
584	8713	6181
585	8729	6167
586	8742	6151
587	8756	6135
588	8770	6119
589	8785	6105
590	8799	6089
591	8813	6074
592	8827	6058
593	8839	6042
594	8854	6026
595	8867	6010
596	8880	5995
597	8895	5979
598	8909	5964
599	8924	5949
600	8938	5934
601	8952	5918
602	8966	5903
603	8980	5887
604	8993	5871
605	9007	5856
606	9021	5841
607	9035	5825
608	9048	5809
609	9061	5793
610	9076	5778
611	9089	5762
612	9101	5746
613	9115	5730
614	9128	5714
615	9142	5699
616	9158	5684
617	9175	5671
618	9192	5658
619	9208	5643
620	9224	5629
621	9240	5615
622	9267	5608
623	9283	5594
624	9300	5580
625	9318	5567
626	9336	5554
627	9349	5538
628	9362	5522
629	9375	5506
630	9387	5489
631	9400	5473
632	9413	5457
633	9426	5441
634	9438	5425
635	9451	5409
636	9463	5392
637	9476	5376
638	9489	5360
639	9501	5344
640	9514	5328
641	9526	5312
642	9538	5295
643	9550	5279
644	9562	5263
645	9575	5247
646	9587	5230
647	9599	5214
648	9611	5198
649	9624	5182
650	9640	5168
651	9654	5153
652	9668	5137
653	9681	5122
654	9696	5107
655	9708	5091
656	9721	5075
657	9734	5059
658	9747	5043
659	9759	5027
660	9771	5011
661	9784	4995
662	9797	4979
663	9810	4964
664	9822	4948
665	9835	4932
666	9847	4916
667	9860	4900
668	9873	4884
669	9885	4869
670	9898	4853
671	9911	4837
672	9923	4821
673	9937	4806
674	9949	4790
675	9962	4774
676	9974	4758
677	9986	4742
678	9999	4727
679	10011	4711
680	10024	4695
681	10037	4680
682	10050	4664
683	10062	4648
684	10074	4632
685	10087	4617
686	10098	4601
687	10111	4585
688	10124	4569
689	10138	4554
690	10166	4546
691	10206	4542
692	10222	4528
693	10237	4514
694	10258	4502
695	10273	4487
696	10288	4472
697	10301	4457
698	10315	4442
699	10331	4427
700	10346	4413
701	10360	4398
702	10373	4382
703	10386	4367
704	10400	4351
705	10413	4336
706	10426	4321
707	10441	4306
708	10454	4290
709	10468	4276
710	10481	4260
711	10494	4245
712	10507	4229
713	10520	4213
714	10531	4198
715	10545	4182
716	10558	4167
717	10571	4151
718	10584	4136
719	10596	4120
720	10609	4105
721	10623	4090
722	10637	4075
723	10651	4060
724	10664	4045
725	10677	4029
726	10690	4014
727	10702	3998
728	10715	3983
729	10728	3968
730	10740	3952
731	10753	3937
732	10766	3921
733	10779	3906
734	10793	3891
735	10806	3876
736	10819	3861
737	10832	3845
738	10844	3830
739	10856	3814
740	10869	3799
741	10883	3784
742	10896	3768
743	10909	3753
744	10922	3738
745	10935	3723
746	10948	3708
747	10960	3692
748	10974	3677
749	10986	3662
750	10999	3646
751	11012	3631
752	11025	3616
753	11038	3601
754	11051	3586
755	11064	3571
756	11077	3555
757	11090	3540
758	11102	3525
759	11116	3510
760	11130	3495
761	11143	3480
762	11157	3465
763	11170	3450
764	11182	3435
765	11195	3419
766	11207	3404
767	11220	3389
768	11233	3374
769	11246	3359
770	11258	3344
771	11271	3329
772	11285	3314
773	11298	3299
774	11311	3284
775	11325	3269
776	11339	3254
777	11353	3239
778	11367	3224
779	11381	3210
780	11396	3195
781	11409	3180
782	11423	3165
783	11436	3150
784	11450	3136
785	11463	3121
786	11476	3106
787	11490	3091
788	11503	3076
789	11517	3061
790	11530	3046
791	11542	3031
792	11555	3016
793	11569	3001
794	11581	2986
795	11594	2971
796	11607	2956
797	11620	2941
798	11633	2926
799	11646	2911
800	11660	2896
801	11672	2881
802	11685	2866
803	11698	2851
804	11711	2836
805	11724	2822
806	11737	2807
807	11750	2792
808	11763	2777
809	11775	2762
810	11787	2747
811	11801	2732
812	11815	2717
813	11829	2702
814	11844	2688
815	11859	2674
816	11874	2659
817	11889	2645
818	11909	2631
819	11924	2617
820	11941	2603
821	11955	2588
822	11970	2574
823	11984	2559
824	12000	2545
825	12015	2531
826	12030	2516
827	12045	2502
828	12059	2487
829	12074	2472
830	12088	2458
831	12103	2444
832	12120	2429
833	12134	2415
834	12150	2400
835	12168	2387
836	12181	2372
837	12195	2357
838	12209	2342
839	12223	2328
840	12240	2314
841	12255	2299
842	12270	2285
843	12285	2270
844	12300	2256
845	12314	2241
846	12328	2227
847	12344	2212
848	12359	2198
849	12374	2183
850	12390	2169
851	12405	2155
852	12419	2140
853	12433	2125
854	12447	2111
855	12461	2096
856	12476	2081
857	12490	2067
858	12504	2052
859	12518	2037
860	12533	2023
861	12547	2008
862	12561	1994
863	12574	1979
864	12589	1964
865	12602	1950
866	12616	1935
867	12631	1920
868	12646	1906
869	12659	1891
870	12674	1877
871	12688	1862
872	12702	1847
873	12717	1833
874	12732	1818
875	12748	1804
876	12764	1790
877	12780	1775
878	12796	1761
879	12813	1747
880	12828	1732
881	12844	1718
882	12858	1703
883	12872	1689
884	12884	1674
885	12897	1659
886	12910	1644
887	12923	1629
888	12935	1615
889	12948	1600
890	12961	1585
891	12973	1570
892	12986	1556
893	12998	1541
894	13011	1526
895	13024	1511
896	13036	1496
897	13048	1482
898	13061	1467
899	13073	1452
900	13086	1437
901	13099	1423
902	13112	1408
903	13124	1393
904	13138	1379
905	13151	1364
906	13163	1349
907	13176	1335
908	13189	1320
909	13201	1305
910	13215	1291
911	13228	1276
912	13240	1261
913	13252	1246
914	13265	1232
915	13277	1217
916	13290	1202
917	13302	1188
918	13314	1173
919	13327	1158
920	13340	1144
921	13353	1129
922	13366	1115
923	13378	1100
924	13391	1085
925	13404	1071
926	13417	1056
927	13431	1042
928	13443	1027
929	13456	1012
930	13469	998
931	13481	983
932	13495	969
933	13507	954
934	13520	939
935	13531	925
936	13543	910
937	13556	896
938	13569	881
939	13581	866
940	13594	852
941	13607	837
942	13619	823
943	13632	808
944	13645	794
945	13658	779
946	13670	765
947	13682	750
948	13695	735
949	13707	721
950	13719	706
951	13733	692
952	13745	677
953	13759	663
954	13772	648
955	13785	634
956	13797	619
957	13809	605
958	13821	590
959	13833	576
960	13844	561
961	13857	547
962	13870	532
963	13882	518
964	13894	503
965	13908	489
966	13920	475
967	13934	460
968	13946	446
969	13961	431
970	13974	417
971	13988	402
972	14001	388
973	14015	374
974	14029	359
975	14042	345
976	14054	330
977	14067	316
978	14079	302
979	14092	287
980	14105	273
981	14119	258
982	14131	244
983	14143	229
984	14155	215
985	14168	201
986	14181	186
987	14192	172
988	14205	158
989	14218	143
990	14231	129
991	14243	114
992	14258	100
993	14274	86
994	14287	71
995	14301	57
996	14314	43
997	14327	28
998	14340	14
999	14353	0
