fire_start_datetime,start_time,fire_end_datetime,end_time,locgungu,locmenu,damage_area,corrected_address,original_address
2012-05-28,12:18:00,2012-05-28,15:40:00,정선,여량,0.01,강원도 정선군 여량면,강원도 정선 여량
2012-05-28,10:32:00,2012-05-28,12:50:00,홍천,동,0.07,강원도 홍천군 영귀미면,강원도 홍천 동
2012-05-27,17:50:00,2012-05-27,19:20:00,삼척,미로,0.01,강원도 삼척시 미로면,강원도 삼척 미로
2012-05-27,16:10:00,2012-05-27,18:40:00,홍천,화촌,0.01,강원도 홍천군 화촌면,강원도 홍천 화촌
2012-05-27,14:24:00,2012-05-27,16:20:00,영월,남,0.1,강원도 영월군 남면,강원도 영월 남
2012-05-26,15:31:00,2012-05-26,17:20:00,평창,미탄,0.2,강원도 평창군 미탄면,강원도 평창 미탄
2012-05-23,05:40:00,2012-05-23,08:40:00,화천,상서,0.04,강원도 화천군 상서면,강원도 화천 상서
2012-05-07,15:38:00,2012-05-07,17:40:00,평창,봉평,0.1,강원도 평창군 봉평면,강원도 평창 봉평
2012-05-07,14:54:00,2012-05-07,16:15:00,철원,갈말,0.05,강원도 철원군 갈말읍,강원도 철원 갈말
2012-05-06,14:42:00,2012-05-06,17:09:00,홍천,화촌,0.01,강원도 홍천군 화촌면,강원도 홍천 화촌
2012-05-06,13:53:00,2012-05-06,14:45:00,원주,호저,0.05,강원도 원주시 호저면,강원도 원주 호저
2012-05-06,12:54:00,2012-05-06,16:20:00,화천,화천,0.1,강원도 화천군 화천읍,강원도 화천 화천
2012-05-01,14:10:00,2012-05-01,16:30:00,삼척,가곡,0.12,강원도 삼척시 가곡면,강원도 삼척 가곡
2012-04-30,10:15:00,2012-04-30,11:55:00,춘천,동산,0.01,강원도 춘천시 동산면,강원도 춘천 동산
2012-04-24,14:33:00,2012-04-24,15:20:00,동해,귀운,0.01,강원도 동해시 귀운동,강원도 동해 귀운
2012-04-20,17:50:00,2012-04-20,18:40:00,영월,주천,0.05,강원도 영월군 주천면,강원도 영월 주천
2012-04-19,15:00:00,2012-04-19,18:40:00,횡성,청일,1.5,강원도 횡성군 청일면,강원도 횡성 청일
2012-04-19,14:16:00,2012-04-19,23:00:00,홍천,화촌,6.0,강원도 홍천군 화촌면,강원도 홍천 화촌
2012-04-18,16:09:00,2012-04-18,17:26:00,철원,갈말,0.15,강원도 철원군 갈말읍,강원도 철원 갈말
2012-04-17,15:20:00,2012-04-17,16:15:00,영월,북,0.1,강원도 영월군 북면,강원도 영월 북
2012-04-15,20:17:00,2012-04-15,21:50:00,삼척,도계,0.03,강원도 삼척시 도계읍,강원도 삼척 도계
2012-04-15,15:20:00,2012-04-15,16:40:00,평창,진부,0.12,강원도 평창군 진부면,강원도 평창 진부
2012-04-09,16:29:00,2012-04-09,18:20:00,춘천,동,0.02,강원도 춘천시 동면,강원도 춘천 동
2012-03-30,17:26:00,2012-03-30,19:00:00,양구,양구,0.1,강원도 양구군 양구읍,강원도 양구 양구
2012-03-12,15:15:00,2012-03-12,16:40:00,횡성,갑천,0.1,강원도 횡성군 갑천면,강원도 횡성 갑천
2012-02-28,14:40:00,2012-02-28,14:40:00,양구,동면,0.06,강원도 양구군 동면,강원도 양구 동면
