original_fire_id,start_datetime,total_duration_hours,final_damage_area_ha,duration_hours,estimated_damage_area,timestamp,lat,lng,T2M,RH2M,WS10M,WD10M,PRECTOTCORR,FFMC,DMC,DC,ISI,BUI,FWI
2,2011-11-01 15:23:00,19.116666666666667,3.0,5,0.7846556233653007,2011-11-01 20:23:00,38.1042562811837,127.707178844679,12.2,69.58,1.5,163.7,0.0,84.53758293830917,6.36015436548,20.7,10.257664727444462,7.19419711452582,20181.824882246874
2,2011-11-01 15:23:00,19.116666666666667,3.0,6,0.9415867480383608,2011-11-01 21:23:00,38.1042562811837,127.707178844679,11.55,76.0,1.63,175.1,0.0,84.34083884303067,6.270258648,20.583,10.053857703266507,7.1188941553375615,16618.51933504783
2,2011-11-01 15:23:00,19.116666666666667,3.0,7,1.098517872711421,2011-11-01 22:23:00,38.1042562811837,127.707178844679,11.18,80.61,1.75,180.0,0.0,84.23485245977382,6.211960047656,20.5164,9.97151032816408,7.0712975645485034,15136.011679592555
2,2011-11-01 15:23:00,19.116666666666667,3.0,8,1.2554489973844811,2011-11-01 23:23:00,38.1042562811837,127.707178844679,10.82,85.09,1.79,182.9,0.0,84.17976993345971,6.158209198896,20.4516,9.917991719016628,7.026797172082034,14076.774736154699
2,2011-11-01 15:23:00,19.116666666666667,3.0,9,1.4123801220575412,2011-11-02 00:23:00,38.1042562811837,127.707178844679,10.64,87.95,1.78,187.8,0.0,84.1818927742837,6.12593109406,20.4192,9.915819218258367,7.0009803049874355,13741.961226883588
2,2011-11-01 15:23:00,19.116666666666667,3.0,10,1.5693112467306014,2011-11-02 01:23:00,38.1042562811837,127.707178844679,10.49,90.2,1.72,197.3,0.0,84.21772394871836,6.10110842476,20.3922,9.933557357122693,6.980789688583864,13649.049579953808
2,2011-11-01 15:23:00,19.116666666666667,3.0,11,1.7262423714036617,2011-11-02 02:23:00,38.1042562811837,127.707178844679,10.33,92.67,1.62,210.4,0.0,84.30292510653508,6.074580971742,20.3634,9.997566701032373,6.959191878829152,13931.763348537204
2,2011-11-01 15:23:00,19.116666666666667,3.0,12,1.8831734960767217,2011-11-02 03:23:00,38.1042562811837,127.707178844679,10.16,94.24,1.51,223.4,0.0,84.39356633356788,6.057734938368,20.3328,10.064633182036983,6.94366694549632,14320.60324916421
2,2011-11-01 15:23:00,19.116666666666667,3.0,13,2.0401046207497817,2011-11-02 04:23:00,38.1042562811837,127.707178844679,10.11,94.05,1.3,235.7,0.0,84.40368946724777,6.05937456091,20.3238,9.972324014004485,6.9434312121986475,13525.981828668218
2,2011-11-01 15:23:00,19.116666666666667,3.0,14,2.197035745422842,2011-11-02 05:23:00,38.1042562811837,127.707178844679,10.14,92.99,1.14,240.1,0.0,84.36907347895746,6.070139418632,20.3292,9.846099540038503,6.951282769156086,12596.737521841706
2,2011-11-01 15:23:00,19.116666666666667,3.0,15,2.353966870095902,2011-11-02 06:23:00,38.1042562811837,127.707178844679,10.27,90.95,0.85,238.0,0.0,84.33728193634174,6.09159818673,20.3526,9.66172761891922,6.968763464855609,11402.59842711636
2,2011-11-01 15:23:00,19.116666666666667,3.0,16,2.5108979947689622,2011-11-02 07:23:00,38.1042562811837,127.707178844679,11.37,87.81,0.41,212.2,0.0,84.35199480137685,6.135315638674,20.5506,9.468643211953017,7.026376170321757,10610.80114273012
2,2011-11-01 15:23:00,19.116666666666667,3.0,17,2.6678291194420223,2011-11-02 08:23:00,38.1042562811837,127.707178844679,12.73,83.7,0.55,189.5,0.0,84.31990495310791,6.20067238722,20.7954,9.49449869633931,7.105004541533091,11534.494437259342
2,2011-11-01 15:23:00,19.116666666666667,3.0,18,2.8247602441150823,2011-11-02 09:23:00,38.1042562811837,127.707178844679,15.23,64.88,1.38,278.3,0.0,84.79387576046166,6.510526775728,21.2454,10.55806790453266,7.372730079742369,28591.238544496584
2,2011-11-01 15:23:00,19.116666666666667,3.0,19,2.981691368788143,2011-11-02 10:23:00,38.1042562811837,127.707178844679,16.44,57.41,1.89,283.2,0.0,85.2284856650172,6.664989919148001,21.4632,11.49998366350166,7.504235001272653,58040.9890027485
2,2011-11-01 15:23:00,19.116666666666667,3.0,20,3.138622493461203,2011-11-02 11:23:00,38.1042562811837,127.707178844679,16.72,55.55,2.03,275.7,0.0,85.35688242274988,6.70511068782,21.5136,11.7891038082976,7.537341914591766,71563.18713644774
3,2011-10-17 15:05:00,1.4166666666666667,0.01,1,0.007058823529411764,2011-10-17 16:05:00,38.0703902211485,128.172217558963,8.18,44.89,6.43,270.8,0.0,85.43140568931385,6.455256567744,19.976399999999998,14.868314571236592,7.141322150681012,280253.6913163857
3,2011-10-17 15:05:00,1.4166666666666667,0.01,2,0.014117647058823528,2011-10-17 17:05:00,38.0703902211485,128.172217558963,5.91,58.6,4.58,267.5,0.0,84.70543813901574,6.25834269852,19.5678,12.25657406662252,6.955369568028012,53231.467343637094
4,2011-10-13 15:54:00,1.9333333333333333,0.1,1,0.05172413793103448,2011-10-13 16:54:00,38.0298510072252,127.640812477483,16.52,68.14,1.29,268.7,0.0,84.70138481099771,6.499723195176,21.4776,10.378398753438804,7.400471564822483,26166.30095545476
4,2011-10-13 15:54:00,1.9333333333333333,0.1,2,0.10344827586206896,2011-10-13 17:54:00,38.0298510072252,127.640812477483,14.99,62.12,0.92,287.7,0.0,84.9105733747867,6.542555096056,21.202199999999998,10.482324515373314,7.3866761241050565,27602.56120012158
5,2011-10-07 14:46:00,1.7,0.01,1,0.0058823529411764705,2011-10-07 15:46:00,37.6181202912817,127.767631386937,17.01,61.05,2.84,286.3,0.0,85.04056586525179,6.6279191742100005,21.5658,11.755218845441863,7.496218077861917,67380.65067997071
5,2011-10-07 14:46:00,1.7,0.01,2,0.011764705882352941,2011-10-07 16:46:00,37.6181202912817,127.767631386937,14.78,80.05,2.08,283.4,0.0,84.2274673601371,6.28201436508,21.1644,10.128651609270584,7.21221041423645,18913.191700925738
6,2011-10-06 18:13:00,5.283333333333333,0.3,1,0.056782334384858045,2011-10-06 19:13:00,38.1042562811837,127.707178844679,7.73,92.17,2.98,300.2,0.0,84.2130720208806,6.061546066002,19.895400000000002,10.578093010861608,6.881564165969812,18495.089087346503
6,2011-10-06 18:13:00,5.283333333333333,0.3,2,0.11356466876971609,2011-10-06 20:13:00,38.1042562811837,127.707178844679,6.97,97.3,2.68,298.8,0.0,84.62204607297929,6.01939613202,19.7586,11.011743395624414,6.833943273416933,22898.081373663063
6,2011-10-06 18:13:00,5.283333333333333,0.3,3,0.17034700315457413,2011-10-06 21:13:00,38.1042562811837,127.707178844679,6.44,100.0,2.41,299.3,0.0,85.04770672490858,6.0,19.6632,11.514559907409419,6.807173024994808,29936.626006879782
6,2011-10-06 18:13:00,5.283333333333333,0.3,4,0.22712933753943218,2011-10-06 22:13:00,38.1042562811837,127.707178844679,6.26,100.0,2.08,303.2,0.0,85.04770672490858,6.0,19.6308,11.324670924100165,6.802314702519146,26684.400476024704
6,2011-10-06 18:13:00,5.283333333333333,0.3,5,0.28391167192429023,2011-10-06 23:13:00,38.1042562811837,127.707178844679,6.12,100.0,1.79,312.1,0.0,85.04770672490858,6.0,19.6056,11.160385657417244,6.798529717733546,24156.12042716278
6,2011-10-06 18:13:00,5.283333333333333,0.3,6,0.34069400630914826,2011-10-07 00:13:00,38.1042562811837,127.707178844679,5.84,100.0,1.53,324.9,0.0,85.04770672490858,6.0,19.5552,11.015122633079091,6.790943186553689,22023.81731202673
7,2011-06-15 13:15:00,1.5,0.1,1,0.06666666666666667,2011-06-15 14:15:00,37.7523096450281,127.796298351078,27.26,49.31,1.85,150.5,0.13,86.68712106251925,7.470287456784,23.910800000000002,14.081249523781791,8.388595969696295,686246.88957402
7,2011-06-15 13:15:00,1.5,0.1,2,0.13333333333333333,2011-06-15 15:15:00,37.7523096450281,127.796298351078,26.83,52.18,2.1,158.5,0.1,86.46668165677578,7.366011142776,23.833399999999997,13.821493541944486,8.31070403683196,539375.6972641017
8,2011-06-12 14:25:00,4.083333333333333,0.1,1,0.02448979591836735,2011-06-12 15:25:00,37.4291642051978,129.133589649628,21.09,73.97,2.15,87.3,1.63,70.71420826881364,5.171881724426168,22.8002,3.430469684351593,6.60062991866128,101.03367697363724
8,2011-06-12 14:25:00,4.083333333333333,0.1,2,0.0489795918367347,2011-06-12 16:25:00,37.4291642051978,129.133589649628,20.7,76.53,2.33,100.2,2.5,62.355862706566896,2.4308096942965154,22.73,2.5298791048958464,3.836029983465454,0.970469210092321
8,2011-06-12 14:25:00,4.083333333333333,0.1,3,0.07346938775510205,2011-06-12 17:25:00,37.4291642051978,129.133589649628,20.49,78.28,2.43,116.1,3.1,57.89452208792823,0.65466067190293,12.345857526681499,1.9258628074150115,1.156065376293592,0.2226423311144069
8,2011-06-12 14:25:00,4.083333333333333,0.1,4,0.0979591836734694,2011-06-12 18:25:00,37.4291642051978,129.133589649628,20.38,79.58,1.95,135.0,1.67,69.72181918116796,5.040294969432389,22.6724,3.288756092603333,6.479468060505604,84.57708414115304
8,2011-06-12 14:25:00,4.083333333333333,0.1,5,0.12244897959183675,2011-06-12 19:25:00,37.4291642051978,129.133589649628,20.19,81.24,0.81,167.9,1.71,68.65529633157368,4.90947040934328,22.6382,3.0018756407911122,6.366977984593808,62.55587994148555
9,2011-05-15 14:50:00,4.083333333333333,0.1,1,0.02448979591836735,2011-05-15 15:50:00,38.2072165163278,127.208191410563,17.69,64.6,7.32,237.9,0.02,84.85648221952927,6.68030517816,22.688200000000002,14.364694639144522,7.695764935635606,390397.73814491084
