fire_start_datetime,start_time,fire_end_datetime,end_time,corrected_address,damage_area,latitude,longitude
2012-05-30,08:00:00,2012-05-30,14:05:00,강원도 홍천군 영귀미면,0.1,37.6780725461921,127.935063630646
2012-05-30,05:30:00,2012-05-30,17:30:00,강원도 홍천군 화촌면,0.1,37.7710054077675,127.966895174076
2012-05-29,11:28:00,2012-05-29,13:35:00,강원도 원주시 부론면,0.01,37.2076020452332,127.750494148523
2012-05-28,17:19:00,2012-05-28,20:10:00,강원도 홍천군 화촌면,0.1,37.7710054077675,127.966895174076
2012-05-28,13:17:00,2012-05-28,15:10:00,강원도 횡성군 갑천면,0.01,37.5609554668992,128.11019928627
2012-05-28,12:18:00,2012-05-28,15:40:00,강원도 정선군 여량면,0.01,37.4706040304876,128.720500019347
2012-05-28,10:32:00,2012-05-28,12:50:00,강원도 홍천군 영귀미면,0.07,37.6780725461921,127.935063630646
2012-05-27,17:50:00,2012-05-27,19:20:00,강원도 삼척시 미로면,0.01,37.4175439757334,129.112486953361
2012-05-27,16:10:00,2012-05-27,18:40:00,강원도 홍천군 화촌면,0.01,37.7710054077675,127.966895174076
2012-05-27,14:24:00,2012-05-27,16:20:00,강원도 영월군 남면,0.1,37.1865451028246,128.404493044827
2012-05-26,15:31:00,2012-05-26,17:20:00,강원도 평창군 미탄면,0.2,37.3420792035649,128.495781431646
2012-05-23,05:40:00,2012-05-23,08:40:00,강원도 화천군 상서면,0.04,38.1578310622547,127.654248763255
2012-05-07,15:38:00,2012-05-07,17:40:00,강원도 평창군 봉평면,0.1,37.6161929793163,128.379492494281
2012-05-07,14:54:00,2012-05-07,16:15:00,강원도 철원군 갈말읍,0.05,38.1477243520665,127.30830034891
2012-05-06,14:42:00,2012-05-06,17:09:00,강원도 홍천군 화촌면,0.01,37.7710054077675,127.966895174076
2012-05-06,13:53:00,2012-05-06,14:45:00,강원도 원주시 호저면,0.05,37.4110343612581,127.925706853576
2012-05-06,12:54:00,2012-05-06,16:20:00,강원도 화천군 화천읍,0.1,38.1042562811837,127.707178844679
2012-05-01,14:10:00,2012-05-01,16:30:00,강원도 삼척시 가곡면,0.12,37.1497538953609,129.205212030994
2012-04-30,10:15:00,2012-04-30,11:55:00,강원도 춘천시 동산면,0.01,37.7523096450281,127.796298351078
2012-04-24,14:33:00,2012-04-24,15:20:00,강원도 동해시 귀운동,0.01,37.4701937850113,129.088967292236
2012-04-20,17:50:00,2012-04-20,18:40:00,강원도 영월군 주천면,0.05,37.2721876092467,128.268910017243
2012-04-19,15:00:00,2012-04-19,18:40:00,강원도 횡성군 청일면,1.5,37.5837464013969,128.150414957403
2012-04-19,14:16:00,2012-04-19,23:00:00,강원도 홍천군 화촌면,6.0,37.7710054077675,127.966895174076
2012-04-18,16:09:00,2012-04-18,17:26:00,강원도 철원군 갈말읍,0.15,38.1477243520665,127.30830034891
2012-04-17,15:20:00,2012-04-17,16:15:00,강원도 영월군 북면,0.1,37.2544645252444,128.455193189019
2012-04-15,20:17:00,2012-04-15,21:50:00,강원도 삼척시 도계읍,0.03,37.2364370242581,129.045174522503
2012-04-15,15:20:00,2012-04-15,16:40:00,강원도 평창군 진부면,0.12,37.6373898432815,128.553137969179
2012-04-09,16:29:00,2012-04-09,18:20:00,강원도 춘천시 동면,0.02,37.910341608957,127.781091988381
2012-03-30,17:26:00,2012-03-30,19:00:00,강원도 양구군 양구읍,0.1,38.1080405251365,127.990430398263
2012-03-12,15:15:00,2012-03-12,16:40:00,강원도 횡성군 갑천면,0.1,37.5609554668992,128.11019928627
2012-02-28,14:40:00,2012-02-28,14:40:00,강원도 양구군 동면,0.06,38.2023166396046,128.04349997028
